,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
0,tuktoyaktuk,ca,75.0,77.0,69.44,-133.03,-2.21,-2.21,18.34,1554318000
1,yellowknife,ca,20.0,59.0,62.45,-114.38,5.02,7.0,12.75,1554322846
2,castro,cl,90.0,93.0,-42.48,-73.76,51.8,51.8,14.99,1554318000
3,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
4,lebu,cl,100.0,95.0,-37.62,-73.65,56.34,56.34,15.68,1554322852
5,qaanaaq,gl,64.0,88.0,77.48,-69.36,11.97,11.97,5.95,1554322833
6,sibolga,id,68.0,100.0,1.74,98.78,70.02,70.02,1.59,1554322707
7,shilong,cn,75.0,88.0,23.11,113.84,70.74,75.0,6.71,1554322846
8,atuona,pf,48.0,100.0,-9.8,-139.03,81.63,81.63,15.35,1554322853
9,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
10,cockburn town,bs,0.0,93.0,24.03,-74.52,78.84,78.84,10.09,1554322759
11,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
12,mosquera,co,40.0,63.0,4.71,-74.23,66.2,66.2,14.99,1554318000
13,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
15,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
16,castro,cl,90.0,93.0,-42.48,-73.76,51.8,51.8,14.99,1554318000
17,helong,cn,92.0,99.0,25.94,116.13,56.97,56.97,3.15,1554322854
20,zirandaro,mx,0.0,19.0,18.45,-100.98,95.04,95.04,3.15,1554322855
21,khash,ir,0.0,58.0,28.22,61.21,55.08,55.08,4.38,1554322855
22,sorland,no,75.0,93.0,67.67,12.69,35.42,37.4,26.4,1554321000
23,thompson,ca,40.0,47.0,55.74,-97.86,15.8,15.8,10.29,1554318000
25,yining,cn,76.0,95.0,29.04,114.56,48.06,48.06,2.15,1554322856
26,hofn,is,90.0,86.0,64.25,-15.21,33.8,33.8,6.93,1554318000
27,caravelas,br,12.0,100.0,-17.73,-39.27,81.27,81.27,9.42,1554322857
28,serov,ru,0.0,69.0,59.61,60.57,17.01,17.01,4.38,1554322857
29,piacabucu,br,8.0,71.0,-10.41,-36.43,82.17,82.17,9.98,1554322857
30,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
31,nikolskoye,ru,0.0,32.0,59.7,30.79,35.82,39.2,6.71,1554322496
32,batemans bay,au,88.0,80.0,-35.71,150.18,58.6,64.0,1.01,1554322545
33,mizan teferi,et,0.0,74.0,6.99,35.58,62.82,62.82,2.48,1554322858
34,longyearbyen,sj,40.0,84.0,78.22,15.64,8.6,8.6,5.82,1554321000
35,bouafle,ci,75.0,79.0,6.99,-5.74,86.0,86.0,4.7,1554318000
36,avarua,ck,92.0,74.0,-21.21,-159.78,80.6,80.6,8.05,1554321600
37,takaka,nz,0.0,88.0,-40.86,172.81,49.91,53.01,1.92,1554322709
38,ribeira grande,pt,75.0,58.0,38.52,-28.7,59.0,59.0,5.82,1554321600
40,acapulco,mx,5.0,70.0,16.86,-99.88,86.0,86.0,6.93,1554320520
42,galle,lk,0.0,99.0,6.04,80.22,77.04,77.04,5.61,1554322860
43,thompson,ca,40.0,47.0,55.74,-97.86,15.8,15.8,10.29,1554318000
44,vryburg,za,68.0,87.0,-26.96,24.73,62.64,62.64,4.61,1554322861
45,hamilton,bm,90.0,77.0,32.3,-64.78,68.0,68.0,13.87,1554322547
46,redlands,us,90.0,55.0,34.06,-117.19,61.86,70.0,2.37,1554322856
47,hobart,au,40.0,80.0,-42.88,147.33,41.0,42.01,10.29,1554322635
48,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
50,chuy,uy,0.0,84.0,-33.69,-53.46,68.4,68.4,9.64,1554322753
51,bathsheba,bb,40.0,58.0,13.22,-59.52,86.0,86.0,23.04,1554318000
52,vaini,to,40.0,78.0,-21.2,-175.2,78.8,78.8,8.05,1554321600
54,kruisfontein,za,76.0,79.0,-34.0,24.73,60.66,60.66,7.4,1554322708
56,grand gaube,mu,75.0,88.0,-20.01,57.66,77.88,78.8,3.36,1554322743
58,narsaq,gl,20.0,54.0,60.91,-46.05,30.2,30.2,16.11,1554321000
59,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
60,brazzaville,cg,20.0,79.0,-4.27,15.28,85.37,86.0,3.15,1554321600
61,lebu,cl,100.0,95.0,-37.62,-73.65,56.34,56.34,15.68,1554322852
62,butaritari,ki,92.0,100.0,3.07,172.79,77.67,77.67,1.59,1554322828
63,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
64,kilis,tr,75.0,81.0,36.72,37.12,49.64,51.8,8.05,1554322318
65,dingle,ie,75.0,70.0,52.14,-10.27,42.8,42.8,14.99,1554318000
66,umm kaddadah,sd,0.0,15.0,13.6,26.69,71.46,71.46,11.21,1554322865
67,lebu,cl,100.0,95.0,-37.62,-73.65,56.34,56.34,15.68,1554322852
69,ribeira grande,pt,75.0,58.0,38.52,-28.7,59.0,59.0,5.82,1554321600
70,ulaanbaatar,mn,0.0,68.0,47.92,106.92,30.2,30.2,6.71,1554321600
71,port elizabeth,za,0.0,52.0,-33.92,25.57,66.2,66.2,5.82,1554321600
72,zhigansk,ru,88.0,84.0,66.77,123.37,25.2,25.2,5.61,1554322867
73,atuona,pf,48.0,100.0,-9.8,-139.03,81.63,81.63,15.35,1554322711
75,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
76,gallup,us,90.0,40.0,35.53,-108.74,55.02,57.2,11.41,1554321180
77,castro,cl,90.0,93.0,-42.48,-73.76,51.8,51.8,14.99,1554318000
79,jamestown,sh,92.0,100.0,-15.94,-5.72,76.77,76.77,18.92,1554322868
80,tasiilaq,gl,0.0,92.0,65.61,-37.64,30.2,30.2,19.46,1554321000
81,lebu,cl,100.0,95.0,-37.62,-73.65,56.34,56.34,15.68,1554322852
82,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
83,muriti,tz,20.0,83.0,-1.99,32.93,73.4,73.4,4.94,1554318000
84,broken hill,au,56.0,32.0,-31.97,141.45,66.2,66.2,6.93,1554318000
87,praya,id,40.0,100.0,-8.71,116.27,77.0,77.0,5.17,1554319800
88,saint-pierre,re,0.0,69.0,-21.34,55.48,74.43,80.6,13.87,1554322564
89,hobart,au,40.0,80.0,-42.88,147.33,41.0,42.01,10.29,1554322635
91,upernavik,gl,80.0,88.0,72.79,-56.15,25.38,25.38,42.97,1554322720
92,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
93,nikolskoye,ru,0.0,32.0,59.7,30.79,35.82,39.2,6.71,1554322496
94,chokurdakh,ru,0.0,55.0,70.62,147.9,-0.64,-0.64,2.93,1554322871
96,san patricio,mx,5.0,74.0,19.22,-104.7,80.6,80.6,11.41,1554320460
97,lidkoping,se,88.0,65.0,58.51,13.16,44.11,48.0,10.29,1554322797
98,jamestown,sh,92.0,100.0,-15.94,-5.72,76.77,76.77,18.92,1554322868
99,kudahuvadhoo,mv,0.0,100.0,2.67,72.89,82.98,82.98,4.5,1554322872
101,saskylakh,ru,56.0,83.0,71.97,114.09,21.87,21.87,5.39,1554322864
102,saint george,bm,90.0,77.0,32.38,-64.68,68.0,68.0,13.87,1554322547
104,atuona,pf,48.0,100.0,-9.8,-139.03,81.63,81.63,15.35,1554322711
105,solvychegodsk,ru,0.0,85.0,61.33,46.92,21.87,21.87,4.16,1554322873
106,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
108,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
109,souillac,mu,75.0,88.0,-20.52,57.52,77.7,78.8,3.36,1554322743
110,olinda,br,40.0,52.0,-22.82,-43.41,84.6,89.6,11.41,1554322830
111,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
112,mahebourg,mu,75.0,88.0,-20.41,57.7,77.7,78.8,3.36,1554322743
113,nanortalik,gl,68.0,100.0,60.14,-45.24,31.5,31.5,30.78,1554322875
116,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
119,hobart,au,40.0,80.0,-42.88,147.33,41.0,42.01,10.29,1554322635
122,butaritari,ki,92.0,100.0,3.07,172.79,77.67,77.67,1.59,1554322828
123,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
124,dmytrivka,ua,24.0,40.0,50.46,30.17,34.81,37.99,2.24,1554322292
125,pismo beach,us,90.0,67.0,35.14,-120.64,61.95,64.0,4.94,1554322670
126,chuy,uy,0.0,84.0,-33.69,-53.46,68.4,68.4,9.64,1554322753
128,jamestown,sh,92.0,100.0,-15.94,-5.72,76.77,76.77,18.92,1554322868
130,faanui,pf,12.0,100.0,-16.48,-151.75,84.33,84.33,9.98,1554322845
131,pisco,pe,0.0,30.0,-13.71,-76.2,71.6,71.6,16.11,1554318000
132,bluff,nz,92.0,93.0,-46.6,168.33,48.0,48.0,1.01,1554322807
133,beloha,mg,0.0,84.0,-25.17,45.06,73.53,73.53,8.52,1554322879
134,avarua,ck,92.0,74.0,-21.21,-159.78,80.6,80.6,8.05,1554321600
135,iqaluit,ca,75.0,71.0,63.75,-68.52,8.33,8.6,4.7,1554322323
136,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
138,hithadhoo,mv,36.0,100.0,-0.6,73.08,79.74,79.74,4.38,1554322880
139,olinda,br,40.0,52.0,-22.82,-43.41,84.6,89.6,11.41,1554322830
140,westport,ie,92.0,82.0,53.8,-9.52,42.94,44.01,7.0,1554322691
141,erenhot,cn,20.0,51.0,43.65,111.97,42.66,42.66,14.12,1554322880
142,tiznit,ma,32.0,86.0,29.7,-9.73,61.74,61.74,7.4,1554322881
143,ribeira grande,pt,75.0,58.0,38.52,-28.7,59.0,59.0,5.82,1554321600
144,ust-kut,ru,80.0,68.0,56.78,105.75,25.47,25.47,7.96,1554322881
145,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
146,sabang,id,8.0,100.0,1.17,120.82,81.54,81.54,2.59,1554322881
147,havre-saint-pierre,ca,90.0,100.0,50.23,-63.6,28.4,28.4,18.34,1554320460
148,yellowknife,ca,20.0,59.0,62.45,-114.38,5.04,7.0,12.75,1554322545
149,alofi,nu,40.0,74.0,-19.06,-169.92,80.6,80.6,8.05,1554321600
150,cape town,za,0.0,88.0,-33.93,18.42,61.5,64.99,3.36,1554322879
151,kamogawa,jp,0.0,42.0,35.13,140.08,41.61,46.4,5.82,1554322703
152,rio grande,br,75.0,62.0,-32.03,-52.1,86.0,86.0,9.17,1554318000
153,broome,au,0.0,88.0,-17.97,122.23,68.0,68.0,7.63,1554319800
154,vrangel,ru,12.0,96.0,42.73,133.08,37.62,37.62,8.52,1554322883
155,cape town,za,0.0,88.0,-33.93,18.42,61.5,64.99,3.36,1554322879
156,pacific grove,us,75.0,62.0,36.62,-121.92,59.59,64.0,6.93,1554322816
157,coquimbo,cl,0.0,56.0,-29.95,-71.34,69.8,69.8,9.17,1554318000
158,katherine,au,32.0,69.0,-14.47,132.26,78.8,78.8,8.05,1554319800
159,grand gaube,mu,75.0,88.0,-20.01,57.66,77.88,78.8,3.36,1554322743
160,ponta do sol,cv,40.0,49.0,17.2,-25.09,73.4,73.4,23.04,1554318000
161,binzhou,cn,0.0,45.0,37.38,117.96,57.0,57.0,3.0,1554321437
162,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
163,soyo,ao,24.0,87.0,-6.13,12.37,82.26,82.26,5.84,1554322885
164,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
165,husavik,is,0.0,56.0,66.04,-17.34,41.0,41.0,14.99,1554321600
166,new norfolk,au,40.0,80.0,-42.78,147.06,41.0,42.01,10.29,1554322815
167,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
168,thompson,ca,40.0,47.0,55.74,-97.86,15.8,15.8,10.29,1554318000
169,severo-kurilsk,ru,88.0,97.0,50.68,156.12,33.03,33.03,6.85,1554322709
170,mayo,ca,20.0,24.0,63.59,-135.9,19.4,19.4,18.34,1554318000
171,port alfred,za,12.0,95.0,-33.59,26.89,64.99,64.99,3.0,1554322608
172,isangel,vu,64.0,100.0,-19.55,169.27,79.02,79.02,11.88,1554322887
173,vaini,to,40.0,78.0,-21.2,-175.2,78.8,78.8,8.05,1554321600
174,mosquera,co,40.0,63.0,4.71,-74.23,66.2,66.2,14.99,1554318000
175,margate,za,56.0,88.0,-30.86,30.37,74.43,74.43,21.72,1554322888
176,hermanus,za,80.0,72.0,-34.42,19.24,61.0,61.0,2.93,1554322574
177,bluff,nz,92.0,93.0,-46.6,168.33,48.0,48.0,1.01,1554322807
178,cabo san lucas,mx,5.0,42.0,22.89,-109.91,81.05,89.01,11.41,1554322615
179,pontes e lacerda,br,32.0,82.0,-15.23,-59.33,81.36,81.36,6.17,1554322614
180,abalak,ne,0.0,21.0,15.46,6.28,82.44,82.44,9.19,1554322889
181,bathsheba,bb,40.0,58.0,13.22,-59.52,86.0,86.0,23.04,1554318000
182,tabou,ci,76.0,100.0,4.42,-7.36,82.8,82.8,11.65,1554322889
183,kapaa,us,75.0,60.0,22.08,-159.32,74.64,75.99,10.29,1554322705
184,port elizabeth,za,0.0,52.0,-33.92,25.57,66.2,66.2,5.82,1554321600
185,tangshan,cn,0.0,57.0,39.63,118.17,45.81,45.81,9.98,1554322890
186,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
187,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
189,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
190,tanete,id,36.0,96.0,-3.94,119.78,72.99,72.99,2.93,1554322891
191,barrow,us,90.0,41.0,39.51,-90.4,58.26,63.0,9.17,1554322817
192,thompson,ca,40.0,47.0,55.74,-97.86,15.8,15.8,10.29,1554318000
193,san patricio,mx,5.0,74.0,19.22,-104.7,80.6,80.6,11.41,1554320460
194,hermanus,za,80.0,72.0,-34.42,19.24,61.0,61.0,2.93,1554322574
195,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
196,chokurdakh,ru,0.0,55.0,70.62,147.9,-0.64,-0.64,2.93,1554322871
198,hermanus,za,80.0,72.0,-34.42,19.24,61.0,61.0,2.93,1554322574
199,port-gentil,ga,20.0,83.0,-0.72,8.78,82.4,82.4,8.05,1554321600
200,vaini,to,40.0,78.0,-21.2,-175.2,78.8,78.8,8.05,1554321600
201,ilulissat,gl,75.0,78.0,69.22,-51.1,17.6,17.6,16.11,1554321000
202,vieux-habitants,gp,68.0,83.0,16.06,-61.77,75.2,75.2,12.75,1554319800
203,nikolskoye,ru,0.0,32.0,59.7,30.79,35.82,39.2,6.71,1554322496
204,hermanus,za,80.0,72.0,-34.42,19.24,61.0,61.0,2.93,1554322574
205,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
206,torbay,ca,90.0,55.0,47.66,-52.73,33.6,35.6,18.34,1554322717
207,sao filipe,cv,12.0,97.0,14.9,-24.5,70.38,70.38,16.35,1554322894
209,fortuna,us,90.0,93.0,40.6,-124.16,55.08,57.99,3.36,1554322826
210,kodiak,us,90.0,14.0,39.95,-94.76,63.48,68.0,14.99,1554322756
211,gamba,ga,68.0,97.0,-2.72,10.02,83.52,83.52,6.73,1554322895
212,ambilobe,mg,20.0,95.0,-13.19,49.05,72.0,72.0,3.27,1554322895
213,severo-kurilsk,ru,88.0,97.0,50.68,156.12,33.03,33.03,6.85,1554322709
214,floro,no,0.0,75.0,61.6,5.03,40.17,41.0,5.82,1554322541
215,rocha,uy,0.0,68.0,-34.48,-54.34,68.85,68.85,5.95,1554322736
218,muriwai beach,nz,100.0,72.0,-36.82,174.45,59.61,62.01,3.36,1554322878
219,rio gallegos,ar,20.0,34.0,-51.62,-69.22,50.0,50.0,33.33,1554318000
220,coquimbo,cl,0.0,56.0,-29.95,-71.34,69.8,69.8,9.17,1554318000
221,castro,cl,90.0,93.0,-42.48,-73.76,51.8,51.8,14.99,1554318000
222,arraial do cabo,br,0.0,65.0,-22.97,-42.02,82.4,82.4,13.87,1554318000
223,hermanus,za,80.0,72.0,-34.42,19.24,61.0,61.0,2.93,1554322574
225,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
226,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
227,thompson,ca,40.0,47.0,55.74,-97.86,15.8,15.8,10.29,1554318000
228,nikolskoye,ru,0.0,32.0,59.7,30.79,35.82,39.2,6.71,1554322496
229,port blair,in,0.0,100.0,11.67,92.75,83.88,83.88,1.92,1554322898
230,sabang,id,8.0,100.0,1.17,120.82,81.54,81.54,2.59,1554322881
231,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
232,anloga,gh,40.0,84.0,5.79,0.9,86.0,86.0,11.41,1554318000
233,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
234,poum,nc,76.0,100.0,-20.23,164.02,79.83,79.83,1.14,1554322899
235,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
236,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
237,torbay,ca,90.0,55.0,47.66,-52.73,33.6,35.6,18.34,1554322717
238,luderitz,na,0.0,87.0,-26.65,15.16,58.77,58.77,11.43,1554322836
239,mizdah,ly,0.0,56.0,31.45,12.98,53.82,53.82,1.7,1554322900
241,jamestown,sh,92.0,100.0,-15.94,-5.72,76.77,76.77,18.92,1554322868
242,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
243,bredasdorp,za,44.0,93.0,-34.53,20.04,59.0,59.0,5.82,1554321600
244,nanortalik,gl,68.0,100.0,60.14,-45.24,31.5,31.5,30.78,1554322875
245,broome,au,0.0,88.0,-17.97,122.23,68.0,68.0,7.63,1554319800
247,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
248,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
249,santo antonio do ica,br,12.0,77.0,-3.1,-67.94,85.77,85.77,3.94,1554322901
250,alice springs,au,0.0,28.0,-23.7,133.88,55.4,55.4,5.82,1554319800
251,castro,cl,90.0,93.0,-42.48,-73.76,51.8,51.8,14.99,1554318000
252,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
